[[-2.52027398e-02  1.00377758e+00]
 [-2.51184322e-02  1.01853901e+00]
 [-2.50338413e-02  1.03330045e+00]
 [-2.49530757e-02  1.04806188e+00]
 [-2.48736713e-02  1.06282332e+00]
 [-2.47940647e-02  1.07758475e+00]
 [-2.47156712e-02  1.09234619e+00]
 [-2.46392487e-02  1.10710762e+00]
 [-2.45642923e-02  1.12186906e+00]
 [-2.44879767e-02  1.13663049e+00]
 [-2.44154850e-02  1.15139193e+00]
 [-2.43436427e-02  1.16615336e+00]
 [-2.42715044e-02  1.18091480e+00]
 [-2.41992357e-02  1.19567623e+00]
 [-2.41297470e-02  1.21043767e+00]
 [-2.40615330e-02  1.22519910e+00]
 [-2.39925058e-02  1.23996054e+00]
 [-2.39251195e-02  1.25472197e+00]
 [-2.38578410e-02  1.26948341e+00]
 [-2.37916092e-02  1.28424484e+00]
 [-2.37245883e-02  1.29900628e+00]
 [-2.36601300e-02  1.31376771e+00]
 [-2.35962273e-02  1.32852915e+00]
 [-2.35317209e-02  1.34329058e+00]
 [-2.34678835e-02  1.35805202e+00]
 [-2.34052316e-02  1.37281345e+00]
 [-2.33433615e-02  1.38757489e+00]
 [-2.32812591e-02  1.40233632e+00]
 [-2.32200641e-02  1.41709776e+00]
 [-2.31589886e-02  1.43185919e+00]
 [-2.30984319e-02  1.44662063e+00]
 [-2.30381559e-02  1.46138206e+00]
 [-2.29784557e-02  1.47614350e+00]
 [-2.29191337e-02  1.49090493e+00]
 [-2.28602090e-02  1.50566637e+00]
 [-2.28017614e-02  1.52042780e+00]
 [-2.27436802e-02  1.53518924e+00]
 [-2.26858752e-02  1.54995067e+00]
 [-2.26275781e-02  1.56471211e+00]
 [-2.25693299e-02  1.57947354e+00]
 [-2.25133667e-02  1.59423498e+00]
 [-2.24572897e-02  1.60899641e+00]
 [-2.24005378e-02  1.62375785e+00]
 [-2.23431322e-02  1.63851928e+00]
 [-2.22888001e-02  1.65328072e+00]
 [-2.22353678e-02  1.66804215e+00]
 [-2.21794635e-02  1.68280359e+00]
 [-2.21266935e-02  1.69756502e+00]
 [-2.20732712e-02  1.71232646e+00]
 [-2.20198990e-02  1.72708789e+00]
 [-2.19672246e-02  1.74184933e+00]
 [-2.19131331e-02  1.75661076e+00]
 [-2.18607517e-02  1.77137220e+00]
 [-2.18091725e-02  1.78613363e+00]
 [-2.17568884e-02  1.80089507e+00]
 [-2.17046582e-02  1.81565650e+00]
 [-2.16527144e-02  1.83041794e+00]
 [-2.15993773e-02  1.84517937e+00]
 [-2.15479197e-02  1.85994081e+00]
 [-2.14977740e-02  1.87470224e+00]
 [-2.14464442e-02  1.88946368e+00]
 [-2.13956072e-02  1.90422511e+00]
 [-2.13447363e-02  1.91898655e+00]
 [-2.12940510e-02  1.93374798e+00]
 [-2.12434547e-02  1.94850942e+00]
 [-2.11922416e-02  1.96327085e+00]
 [-2.11422888e-02  1.97803229e+00]
 [-2.10922970e-02  1.99279372e+00]
 [-2.10419299e-02  2.00755516e+00]
 [-2.09922091e-02  2.02231659e+00]
 [-2.09421478e-02  2.03707803e+00]
 [-2.08924585e-02  2.05183946e+00]
 [-2.08420417e-02  2.06660090e+00]
 [-2.07929395e-02  2.08136233e+00]
 [-2.07440626e-02  2.09612377e+00]
 [-2.06947205e-02  2.11088520e+00]
 [-2.06457577e-02  2.12564664e+00]
 [-2.05966596e-02  2.14040807e+00]
 [-2.05476608e-02  2.15516951e+00]
 [-2.04985733e-02  2.16993094e+00]
 [-2.04489601e-02  2.18469238e+00]
 [-2.04006400e-02  2.19945381e+00]
 [-2.03523788e-02  2.21421525e+00]
 [-2.03033730e-02  2.22897668e+00]
 [-2.02549331e-02  2.24373812e+00]
 [-2.02062882e-02  2.25849955e+00]
 [-2.01577997e-02  2.27326099e+00]
 [-2.01092260e-02  2.28802242e+00]
 [-2.00607258e-02  2.30278386e+00]
 [-2.00121123e-02  2.31754529e+00]
 [-1.99621051e-02  2.33230673e+00]
 [-1.99141344e-02  2.34706816e+00]
 [-1.98667258e-02  2.36182960e+00]
 [-1.98175871e-02  2.37659103e+00]
 [-1.97677621e-02  2.39135247e+00]
 [-1.97187817e-02  2.40611390e+00]
 [-1.96718290e-02  2.42087534e+00]
 [-1.96231284e-02  2.43563677e+00]
 [-1.95742795e-02  2.45039821e+00]
 [-1.95261197e-02  2.46515964e+00]
 [-1.94779201e-02  2.47992108e+00]
 [-1.94298730e-02  2.49468251e+00]
 [-1.93817566e-02  2.50944395e+00]
 [-1.93336459e-02  2.52420538e+00]
 [-1.92854127e-02  2.53896682e+00]
 [-1.92358672e-02  2.55372825e+00]
 [-1.91884789e-02  2.56848969e+00]
 [-1.91400978e-02  2.58325112e+00]
 [-1.90914404e-02  2.59801256e+00]
 [-1.90881990e-02  2.61277399e+00]
 [-1.90786371e-02  2.62753543e+00]
 [-1.90629977e-02  2.64229686e+00]
 [-1.90415238e-02  2.65705830e+00]
 [-1.90144587e-02  2.67181973e+00]
 [-1.89820454e-02  2.68658117e+00]
 [-1.89445270e-02  2.70134260e+00]
 [-1.89021466e-02  2.71610404e+00]
 [-1.88551472e-02  2.73086547e+00]
 [-1.88037721e-02  2.74562691e+00]
 [-1.87482643e-02  2.76038834e+00]
 [-1.86888669e-02  2.77514978e+00]
 [-1.86258230e-02  2.78991121e+00]
 [-1.85593757e-02  2.80467265e+00]
 [-1.84897681e-02  2.81943408e+00]
 [-1.84172432e-02  2.83419552e+00]
 [-1.83420443e-02  2.84895695e+00]
 [-1.82644144e-02  2.86371839e+00]
 [-1.81845966e-02  2.87847982e+00]
 [-1.81028340e-02  2.89324126e+00]
 [-1.80193697e-02  2.90800269e+00]
 [-1.79344468e-02  2.92276413e+00]
 [-1.78483084e-02  2.93752556e+00]
 [-1.77611976e-02  2.95228700e+00]
 [-1.76733575e-02  2.96704843e+00]
 [-1.75850312e-02  2.98180987e+00]
 [-1.74964618e-02  2.99657130e+00]
 [-1.74078924e-02  3.01133274e+00]
 [-1.73195661e-02  3.02609417e+00]
 [-1.72317260e-02  3.04085561e+00]
 [-1.71446152e-02  3.05561704e+00]
 [-1.70584768e-02  3.07037848e+00]
 [-1.69735539e-02  3.08513991e+00]
 [-1.68900895e-02  3.09990135e+00]
 [-1.68083269e-02  3.11466278e+00]
 [-1.67285091e-02  3.12942422e+00]
 [-1.66508792e-02  3.14418565e+00]
 [-1.65756803e-02  3.15894709e+00]
 [-1.65031555e-02  3.17370852e+00]
 [-1.64335479e-02  3.18846996e+00]
 [-1.63671006e-02  3.20323139e+00]
 [-1.63040567e-02  3.21799283e+00]
 [-1.62446593e-02  3.23275426e+00]
 [-1.61891514e-02  3.24751570e+00]
 [-1.61377763e-02  3.26227713e+00]
 [-1.60907770e-02  3.27703857e+00]
 [-1.60483966e-02  3.29180000e+00]
 [-1.60108782e-02  3.30656144e+00]
 [-1.59784648e-02  3.32132287e+00]
 [-1.59513997e-02  3.33608431e+00]
 [-1.59299259e-02  3.35084574e+00]
 [-1.59142865e-02  3.36560718e+00]
 [-1.59047245e-02  3.38036861e+00]
 [-1.59014832e-02  3.39513005e+00]
 [-1.53309015e-02  3.40989148e+00]
 [-1.53183923e-02  3.42465292e+00]
 [-1.53064691e-02  3.43941435e+00]
 [-1.52950166e-02  3.45417579e+00]
 [-1.52842659e-02  3.46893722e+00]
 [-1.52740274e-02  3.48369866e+00]
 [-1.52643191e-02  3.49846009e+00]
 [-1.52550674e-02  3.51322153e+00]
 [-1.52463916e-02  3.52798296e+00]
 [-1.52381615e-02  3.54274440e+00]
 [-1.52304618e-02  3.55750583e+00]
 [-1.52228252e-02  3.57226727e+00]
 [-1.52151735e-02  3.58702870e+00]
 [-1.52067594e-02  3.60179013e+00]
 [-1.52006249e-02  3.61655157e+00]
 [-1.51946879e-02  3.63131300e+00]
 [-1.51867616e-02  3.64607444e+00]
 [-1.51820661e-02  3.66083587e+00]
 [-1.51768434e-02  3.67559731e+00]
 [-1.51710297e-02  3.69035874e+00]
 [-1.51662127e-02  3.70512018e+00]
 [-1.51612975e-02  3.71988161e+00]
 [-1.51559488e-02  3.73464305e+00]
 [-1.51524837e-02  3.74940448e+00]
 [-1.51477402e-02  3.76416592e+00]
 [-1.51446323e-02  3.77892735e+00]
 [-1.51422894e-02  3.79368879e+00]
 [-1.51373463e-02  3.80845022e+00]
 [-1.51353982e-02  3.82321166e+00]
 [-1.51327639e-02  3.83797309e+00]
 [-1.51299133e-02  3.85273453e+00]
 [-1.51273208e-02  3.86749596e+00]
 [-1.51249376e-02  3.88225740e+00]
 [-1.51227431e-02  3.89701883e+00]
 [-1.51204794e-02  3.91178027e+00]
 [-1.51184326e-02  3.92654170e+00]
 [-1.51164514e-02  3.94130314e+00]
 [-1.51146337e-02  3.95606457e+00]
 [-1.51124903e-02  3.97082601e+00]
 [-1.51107723e-02  3.98558744e+00]
 [-1.51097729e-02  4.00034888e+00]
 [-1.51084956e-02  4.01511031e+00]
 [-1.51071641e-02  4.02987175e+00]
 [-1.51060843e-02  4.04463318e+00]
 [-1.51050084e-02  4.05939462e+00]
 [-1.51040938e-02  4.07415605e+00]
 [-1.51032988e-02  4.08891749e+00]
 [-1.51025326e-02  4.10367892e+00]
 [-1.51018764e-02  4.11844036e+00]
 [-1.51013436e-02  4.13320179e+00]
 [-1.51008680e-02  4.14796323e+00]
 [-1.50987847e-02  4.16272466e+00]
 [-1.50990757e-02  4.17748610e+00]
 [-1.51001688e-02  4.19224753e+00]
 [-1.50995894e-02  4.20700897e+00]
 [-1.50996415e-02  4.22177040e+00]
 [-1.50994376e-02  4.23653184e+00]
 [-1.50981866e-02  4.25129327e+00]
 [-1.50986002e-02  4.26605471e+00]
 [-1.50981527e-02  4.28081614e+00]
 [-1.50992832e-02  4.29557758e+00]
